question,category,subcategory
هعمل ايه علشان الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
انا تايه، عايز اعرف الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,social_status
فين اروح علشان اوثق عقد جواز اونلاين؟,Personal Status,marriage
ممكن حد يفهمني اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
لو سمحت عايز اعرف اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,death_certificate
ينفع اجدد الرخصة لمركبة نقل؟,Traffic,renewal
ممكن تقولي ازاي اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,social_status
عايز اعرف ازاي اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
لو سمحت عايز اعرف استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
عايز اعرف نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
فين اروح علشان المستندات المطلوبة للقيد الفردي؟,Civil Affairs,individual_record
ممكن حد يفهمني اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن تقولي ازاي اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
انا محتاج اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي استعلم عن مخالفات المرور بتاعتي؟,Traffic,traffic_violations
فين اروح علشان ادفع مخالفة المرور اونلاين؟,Traffic,traffic_violations
لو سمحت عايز اعرف استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
انا تايه، عايز اعرف اسجل حالة طلاق في المأذون؟,Personal Status,divorce
هعمل ايه علشان اسجل ضريبيا اونلاين؟,Taxes,tax_registration
ينفع استرد ضريبة القيمة المضافة؟,Taxes,vat
انا محتاج اعدل بيانات في رخصة المركبة؟,Traffic,vehicle_license
فين اروح علشان اطلع رخصة سيارة نقل تجاري؟,Traffic,vehicle_license
ينفع تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,social_status
ممكن تقولي ازاي استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
ينفع استخرج قسيمة طلاق اونلاين؟,Personal Status,divorce_certificate
عايز اعرف ازاي قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,divorce_certificate
عايز اعرف قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,marriage_certificate
هعمل ايه علشان اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
ينفع اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,social_status
لو سمحت عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,family_record
فين اروح علشان اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
عايز اعرف ازاي اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
ممكن حد يفهمني اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
ينفع استخرج قسيمة الزواج؟,Personal Status,marriage_certificate
عايز اعرف ازاي ادفع مخالفة المرور اونلاين؟,Traffic,traffic_violations
فين اروح علشان المستندات المطلوبة للطلاق؟,Personal Status,divorce
ممكن حد يفهمني الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,tax_return
ينفع رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
هعمل ايه علشان الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,vat
انا تايه، عايز اعرف غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,vat
فين اروح علشان استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
عايز اعرف ازاي اعدل بيانات تسجيل المركبة؟,Traffic,vehicle_registration
انا تايه، عايز اعرف رسوم توثيق الطلاق كام؟,Personal Status,divorce
عايز اعرف القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,individual_record
فين اروح علشان المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,driving_license
انا محتاج مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
عايز اعرف ازاي ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,national_id
انا تايه، عايز اعرف اقدم اقرار القيمة المضافة الشهري؟,Taxes,vat
لو سمحت عايز اعرف اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
عايز اعرف ازاي اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,marriage_certificate
عايز اعرف ازاي الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
ممكن حد يفهمني استعلم عن مخالفات عربية مش عربيتي؟,Traffic,traffic_violations
عايز اعرف ازاي رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
انا محتاج اسجل المركبة اونلاين؟,Traffic,vehicle_registration
ينفع اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
ممكن حد يفهمني رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
هعمل ايه علشان اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,social_status
ممكن حد يفهمني اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,social_status
ممكن تقولي ازاي اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,death_certificate
هعمل ايه علشان رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
انا محتاج اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
عايز اعرف ازاي اسجل نشاطي التجاري في الضرائب؟,Taxes,tax_registration
فين اروح علشان اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,divorce_certificate
ينفع تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
انا تايه، عايز اعرف اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
عايز اعرف اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,social_status
ممكن تقولي ازاي الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
عايز اعرف استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
لو سمحت عايز اعرف الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
عايز اعرف ازاي المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن تقولي ازاي خطوات تجديد الرخصة اونلاين ايه؟,Traffic,renewal
عايز اعرف ازاي اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
ينفع عقد الجواز بياخد وقت قد ايه؟,Personal Status,marriage
لو سمحت عايز اعرف اعترض على ربط ضريبة الدخل؟,Taxes,income_tax
انا محتاج قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,divorce_certificate
عايز اعرف استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
عايز اعرف ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,national_id
ينفع الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,driving_license
عايز اعرف ازاي اسجل عقد جواز عرفي؟,Personal Status,marriage
هعمل ايه علشان رسوم البطاقة الضريبية كام؟,Taxes,tax_card
فين اروح علشان اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
عايز اعرف ازاي اعدل بيانات في رخصة المركبة؟,Traffic,vehicle_license
ممكن تقولي ازاي رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
عايز اعرف ازاي المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
عايز اعرف ازاي المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,national_id
انا محتاج اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
انا تايه، عايز اعرف اعدل بيانات تسجيل المركبة؟,Traffic,vehicle_registration
انا محتاج تسجيل المركبة بياخد وقت قد ايه؟,Traffic,vehicle_registration
فين اروح علشان الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,vat
عايز اعرف ازاي المستندات المطلوبة للتسجيل الضريبي؟,Taxes,tax_registration
ممكن تقولي ازاي المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
عايز اعرف ازاي اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
ممكن حد يفهمني افسخ تسجيل عربية قديمة؟,Traffic,vehicle_registration
انا تايه، عايز اعرف اعقد عقد جواز جديد؟,Personal Status,marriage
انا محتاج استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
ممكن تقولي ازاي اسجل نفسي في مصلحة الضرائب؟,Taxes,tax_registration
ممكن تقولي ازاي اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف اجدد الرخصة لمركبة نقل؟,Traffic,renewal
ممكن تقولي ازاي اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
لو سمحت عايز اعرف تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,social_status
ممكن حد يفهمني استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
انا محتاج استخرج شهادة وفاة لأبويا؟,Civil Affairs,death_certificate
ينفع اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
هعمل ايه علشان اعدل بيانات في البطاقة الضريبية؟,Taxes,tax_card
عايز اعرف ازاي استخرج قسيمة طلاق اونلاين؟,Personal Status,divorce_certificate
ممكن حد يفهمني رسوم القيد الفردي كام؟,Civil Affairs,individual_record
عايز اعرف اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
هعمل ايه علشان اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
لو سمحت عايز اعرف المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن تقولي ازاي رسوم القيد الفردي كام؟,Civil Affairs,individual_record
انا محتاج اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
عايز اعرف ازاي غرامة تأخير تجديد الرخصة كام؟,Traffic,renewal
عايز اعرف ازاي غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
ممكن تقولي ازاي المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,national_id
ممكن حد يفهمني المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
انا محتاج اقدم على رخصة القيادة اونلاين؟,Traffic,driving_license
عايز اعرف اسجل في ضريبة القيمة المضافة؟,Taxes,vat
لو سمحت عايز اعرف مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,national_id
ينفع مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,national_id
لو سمحت عايز اعرف اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,birth_certificate
لو سمحت عايز اعرف غرامة تأخير تجديد الرخصة كام؟,Traffic,renewal
انا محتاج استخرج رخصة قيادة جديدة؟,Traffic,driving_license
ممكن تقولي ازاي فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,renewal
عايز اعرف ازاي اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
عايز اعرف ازاي المستندات المطلوبة للبطاقة الضريبية؟,Taxes,tax_card
فين اروح علشان اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
فين اروح علشان المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
انا محتاج الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,tax_return
ممكن حد يفهمني اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,marriage
عايز اعرف استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
عايز اعرف ازاي رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
عايز اعرف اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,tax_return
ممكن حد يفهمني المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
انا محتاج اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,marriage
ممكن حد يفهمني اعدل بيانات تسجيل المركبة؟,Traffic,vehicle_registration
هعمل ايه علشان استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
عايز اعرف ازاي اسجل ضريبيا اونلاين؟,Taxes,tax_registration
عايز اعرف اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
عايز اعرف افسخ تسجيل عربية قديمة؟,Traffic,vehicle_registration
هعمل ايه علشان اعدل بيانات تسجيل المركبة؟,Traffic,vehicle_registration
هعمل ايه علشان اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,national_id
انا محتاج اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
عايز اعرف ازاي افرق قيدي عن قيد اهلي؟,Civil Affairs,family_record
ممكن حد يفهمني قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف استعلم عن مخالفات عربية مش عربيتي؟,Traffic,traffic_violations
فين اروح علشان اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
فين اروح علشان رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
ممكن حد يفهمني اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,birth_certificate
ينفع اسجل في ضريبة القيمة المضافة؟,Taxes,vat
لو سمحت عايز اعرف المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
عايز اعرف ازاي الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,tax_return
فين اروح علشان اعقد عقد جواز جديد؟,Personal Status,marriage
عايز اعرف اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,divorce
فين اروح علشان اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف استخرج البطاقة الضريبية؟,Taxes,tax_card
ممكن حد يفهمني اطلع افادة طلاق رسمية؟,Personal Status,divorce
هعمل ايه علشان الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,social_status
انا تايه، عايز اعرف المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
لو سمحت عايز اعرف رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,vehicle_license
انا تايه، عايز اعرف استرد ضريبة القيمة المضافة؟,Taxes,vat
فين اروح علشان اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,social_status
فين اروح علشان استخرج شهادة وفاة لأبويا؟,Civil Affairs,death_certificate
عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,individual_record
ممكن تقولي ازاي رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
لو سمحت عايز اعرف اجدد رخصة القيادة قبل ما تخلص؟,Traffic,renewal
فين اروح علشان اجدد الرخصة لمركبة نقل؟,Traffic,renewal
ممكن تقولي ازاي اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
لو سمحت عايز اعرف اعقد عقد جواز جديد؟,Personal Status,marriage
انا تايه، عايز اعرف قسيمة الزواج بتاخد قد ايه؟,Personal Status,marriage_certificate
انا تايه، عايز اعرف اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,death_certificate
فين اروح علشان اوثق اشهاد طلاق اونلاين؟,Personal Status,divorce
ينفع اقسط ضريبة الدخل المستحقة عليا؟,Taxes,income_tax
ممكن تقولي ازاي اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,tax_card
ممكن تقولي ازاي مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,national_id
ممكن حد يفهمني المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,driving_license
عايز اعرف القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,vat
لو سمحت عايز اعرف اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
ينفع اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان رسوم توثيق الطلاق كام؟,Personal Status,divorce
انا تايه، عايز اعرف احسب ضريبة الدخل على مرتبي؟,Taxes,income_tax
انا تايه، عايز اعرف اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
هعمل ايه علشان شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,death_certificate
عايز اعرف اسجل عقد جواز عرفي؟,Personal Status,marriage
لو سمحت عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,individual_record
فين اروح علشان رسوم رخصة القيادة كام؟,Traffic,driving_license
انا تايه، عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,individual_record
ممكن حد يفهمني استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
انا محتاج رسوم رخصة القيادة كام؟,Traffic,driving_license
فين اروح علشان اعترض على ربط ضريبة الدخل؟,Taxes,income_tax
عايز اعرف رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,national_id
ممكن تقولي ازاي اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,renewal
انا محتاج اعدل بيانات في القيد الفردي؟,Civil Affairs,individual_record
عايز اعرف ازاي المستندات المطلوبة لعقد الزواج؟,Personal Status,marriage
ممكن حد يفهمني غرامة تأخير تجديد الرخصة كام؟,Traffic,renewal
ممكن حد يفهمني اترجم قسيمة الطلاق رسمي؟,Personal Status,divorce_certificate
انا محتاج رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
فين اروح علشان رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,national_id
فين اروح علشان البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,tax_card
ينفع شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,death_certificate
عايز اعرف تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
ينفع شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
انا محتاج افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,income_tax
لو سمحت عايز اعرف اجدد رخصة العربية بعد الانتهاء؟,Traffic,vehicle_license
هعمل ايه علشان قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
ممكن حد يفهمني الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
عايز اعرف ازاي التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
هعمل ايه علشان اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,death_certificate
ممكن حد يفهمني اطلع نسخة من اقرار ضريبي قديم؟,Taxes,tax_return
هعمل ايه علشان اجدد رخصة القيادة قبل ما تخلص؟,Traffic,renewal
عايز اعرف المستندات المطلوبة لعقد الزواج؟,Personal Status,marriage
هعمل ايه علشان اقسط غرامة مخالفات المرور؟,Traffic,traffic_violations
هعمل ايه علشان اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,social_status
ممكن تقولي ازاي اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
عايز اعرف اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
ينفع اقسط غرامة مخالفات المرور؟,Traffic,traffic_violations
هعمل ايه علشان مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,tax_return
ممكن تقولي ازاي اجدد رخصة العربية بعد الانتهاء؟,Traffic,vehicle_license
انا تايه، عايز اعرف اطلع قيد فردي لابني الصغير؟,Civil Affairs,individual_record
انا تايه، عايز اعرف الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
عايز اعرف ازاي اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
هعمل ايه علشان تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
انا محتاج القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,family_record
فين اروح علشان التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,tax_registration
انا تايه، عايز اعرف رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
عايز اعرف رسوم رخصة القيادة كام؟,Traffic,driving_license
ينفع اقدم اقرار القيمة المضافة الشهري؟,Taxes,vat
عايز اعرف ازاي رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
ممكن حد يفهمني اقدم الاقرار الضريبي السنوي؟,Taxes,tax_return
انا تايه، عايز اعرف استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
عايز اعرف ازاي مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,tax_return
ينفع اعدل الحالة الاجتماعية اونلاين؟,Personal Status,social_status
انا تايه، عايز اعرف القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,family_record
انا تايه، عايز اعرف المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,traffic_violations
ينفع اطلع قيد فردي لابني الصغير؟,Civil Affairs,individual_record
انا تايه، عايز اعرف اعدل الحالة الاجتماعية اونلاين؟,Personal Status,social_status
ممكن تقولي ازاي اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
انا محتاج استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
هعمل ايه علشان استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
عايز اعرف ازاي رسوم رخصة السيارة كام؟,Traffic,vehicle_license
عايز اعرف ازاي اجدد رخصة العربية اونلاين؟,Traffic,vehicle_license
ممكن حد يفهمني اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,renewal
لو سمحت عايز اعرف اسجل ضريبيا اونلاين؟,Taxes,tax_registration
هعمل ايه علشان رسوم القيد العائلي كام؟,Civil Affairs,family_record
فين اروح علشان اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,marriage_certificate
انا محتاج اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
فين اروح علشان استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
انا تايه، عايز اعرف اعدل بيانات في القيد الفردي؟,Civil Affairs,individual_record
انا محتاج اجدد الرخصة لمركبة نقل؟,Traffic,renewal
عايز اعرف استخرج البطاقة الضريبية؟,Taxes,tax_card
عايز اعرف ازاي افسخ تسجيل عربية قديمة؟,Traffic,vehicle_registration
ينفع اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
عايز اعرف مخالفات المرور بتتحسب ازاي؟,Traffic,traffic_violations
عايز اعرف ازاي المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
انا تايه، عايز اعرف اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
ممكن حد يفهمني انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
ممكن حد يفهمني البطاقة الضريبية بتاخد قد ايه؟,Taxes,tax_card
عايز اعرف ازاي الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,social_status
عايز اعرف المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,traffic_violations
ممكن حد يفهمني اوثق اشهاد طلاق اونلاين؟,Personal Status,divorce
لو سمحت عايز اعرف اعدل بيانات غلط في عقد الجواز؟,Personal Status,marriage
فين اروح علشان اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
عايز اعرف ازاي اعدل بيانات في البطاقة الضريبية؟,Taxes,tax_card
عايز اعرف اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,national_id
ينفع استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
عايز اعرف اقدم الاقرار الضريبي السنوي؟,Taxes,tax_return
عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
ممكن حد يفهمني غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
ينفع رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,national_id
عايز اعرف ازاي رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
ممكن تقولي ازاي اسجل ضريبيا اونلاين؟,Taxes,tax_registration
عايز اعرف رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
انا تايه، عايز اعرف اطلع رخصة سيارة نقل تجاري؟,Traffic,vehicle_license
عايز اعرف ازاي اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
انا تايه، عايز اعرف استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
ممكن حد يفهمني اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,marriage_certificate
ممكن حد يفهمني اعدل الاقرار الضريبي بعد التقديم؟,Taxes,tax_return
هعمل ايه علشان التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,tax_registration
ينفع اطلع رخصة سيارة نقل تجاري؟,Traffic,vehicle_license
لو سمحت عايز اعرف الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
ممكن تقولي ازاي اطلع افادة طلاق رسمية؟,Personal Status,divorce
انا محتاج اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,national_id
عايز اعرف ازاي المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
انا محتاج رسوم توثيق الطلاق كام؟,Personal Status,divorce
عايز اعرف ازاي رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
عايز اعرف ازاي شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
هعمل ايه علشان القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,family_record
عايز اعرف رسوم قسيمة الطلاق كام؟,Personal Status,divorce_certificate
عايز اعرف البطاقة الضريبية بتاخد قد ايه؟,Taxes,tax_card
لو سمحت عايز اعرف احذف اسم من القيد العائلي؟,Civil Affairs,family_record
انا محتاج اسجل عقد جواز عرفي؟,Personal Status,marriage
ينفع غرامة تأخير تجديد الرخصة كام؟,Traffic,renewal
لو سمحت عايز اعرف استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
ينفع اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
انا تايه، عايز اعرف اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
انا محتاج المستندات المطلوبة للقيد الفردي؟,Civil Affairs,individual_record
عايز اعرف اعقد عقد جواز جديد؟,Personal Status,marriage
انا محتاج المستندات المطلوبة لرخصة المركبة؟,Traffic,vehicle_license
انا تايه، عايز اعرف اعترض على ربط ضريبة الدخل؟,Taxes,income_tax
فين اروح علشان اطلع افادة طلاق رسمية؟,Personal Status,divorce
ينفع المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,birth_certificate
ممكن حد يفهمني اسجل ضريبيا اونلاين؟,Taxes,tax_registration
فين اروح علشان استعلم عن مخالفات عربية مش عربيتي؟,Traffic,traffic_violations
انا محتاج رسوم البطاقة الضريبية كام؟,Taxes,tax_card
لو سمحت عايز اعرف رسوم قسيمة الزواج كام؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
ممكن تقولي ازاي نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
هعمل ايه علشان الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
انا تايه، عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
ممكن حد يفهمني المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,death_certificate
ممكن حد يفهمني رسوم رخصة القيادة كام؟,Traffic,driving_license
لو سمحت عايز اعرف القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,individual_record
ممكن تقولي ازاي اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
ينفع اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
انا تايه، عايز اعرف اطلع بدل فاقد لعقد الجواز؟,Personal Status,marriage
