question,category,label
فين اروح علشان اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
ممكن حد يفهمني استخرج شهادة ميلاد لابني؟,Civil Affairs,0
ممكن حد يفهمني محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
انا تايه، عايز اعرف رسوم شهادة الوفاة كام؟,Civil Affairs,0
عايز اعرف المستندات المطلوبة للطلاق؟,Personal Status,1
ممكن تقولي ازاي رسوم التسجيل الضريبي كام؟,Taxes,2
عايز اعرف ازاي الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
انا تايه، عايز اعرف رسوم قسيمة الزواج كام؟,Personal Status,1
فين اروح علشان ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
انا محتاج استخرج البطاقة الضريبية؟,Taxes,2
عايز اعرف قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,1
انا محتاج ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,2
ممكن تقولي ازاي اقدم اقرار ضريبي صفري؟,Taxes,2
ممكن حد يفهمني اعرف تفاصيل مخالفة برقم اللوحة؟,Traffic,3
هعمل ايه علشان رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
عايز اعرف ازاي اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
انا محتاج اعترض على ربط ضريبة الدخل؟,Taxes,2
ينفع مخالفات المرور بتتحسب ازاي؟,Traffic,3
لو سمحت عايز اعرف المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
انا محتاج اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
هعمل ايه علشان اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
ممكن تقولي ازاي اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
ممكن حد يفهمني استخرج البطاقة الضريبية اونلاين؟,Taxes,2
لو سمحت عايز اعرف اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,0
عايز اعرف اطلع رخصة سيارة نقل تجاري؟,Traffic,3
هعمل ايه علشان خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
فين اروح علشان استخرج قيد فردي اونلاين؟,Civil Affairs,0
انا تايه، عايز اعرف افرق قيدي عن قيد اهلي؟,Civil Affairs,0
فين اروح علشان اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
ممكن تقولي ازاي اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,1
ينفع شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
عايز اعرف استخرج شهادة ميلاد اونلاين؟,Civil Affairs,0
عايز اعرف ازاي مدة سقوط مخالفة المرور كام؟,Traffic,3
عايز اعرف اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
هعمل ايه علشان البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,2
فين اروح علشان اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,3
ينفع اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
هعمل ايه علشان رسوم قسيمة الزواج كام؟,Personal Status,1
فين اروح علشان اقدم على البطاقة القومي اونلاين؟,Civil Affairs,0
عايز اعرف ازاي المستندات المطلوبة للطلاق؟,Personal Status,1
عايز اعرف اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,1
عايز اعرف اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,0
ممكن تقولي ازاي شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,1
ممكن تقولي ازاي ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,2
لو سمحت عايز اعرف اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
عايز اعرف ازاي استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,0
انا تايه، عايز اعرف اسجل عقد جواز عرفي؟,Personal Status,1
انا تايه، عايز اعرف اطلع ايصال دفع مخالفة مرور؟,Traffic,3
انا تايه، عايز اعرف رسوم القيد العائلي كام؟,Civil Affairs,0
ممكن حد يفهمني اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
ممكن تقولي ازاي افرق قيدي عن قيد اهلي؟,Civil Affairs,0
عايز اعرف ازاي اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
ينفع المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
ممكن حد يفهمني اعترض على مخالفة مرور غلط؟,Traffic,3
انا محتاج اجدد رخصة العربية اونلاين؟,Traffic,3
لو سمحت عايز اعرف اترجم قسيمة الطلاق رسمي؟,Personal Status,1
ممكن تقولي ازاي قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,1
ينفع استخرج قسيمة زواج اونلاين؟,Personal Status,1
لو سمحت عايز اعرف اسجل شركتي الجديدة ضريبيا؟,Taxes,2
ممكن حد يفهمني اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
عايز اعرف استخرج رخصة سيارتي الجديدة؟,Traffic,3
عايز اعرف ازاي اعدل بيانات في البطاقة الضريبية؟,Taxes,2
لو سمحت عايز اعرف رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
ممكن تقولي ازاي افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
انا تايه، عايز اعرف تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
فين اروح علشان اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
عايز اعرف اجدد رخصة العربية بعد الانتهاء؟,Traffic,3
ينفع رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
ممكن تقولي ازاي رخصة السيارة بتاخد قد ايه؟,Traffic,3
ممكن حد يفهمني اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,1
انا تايه، عايز اعرف اجدد رخصة القيادة بعد ما خلصت؟,Traffic,3
هعمل ايه علشان اسجل المركبة اونلاين؟,Traffic,3
ممكن تقولي ازاي اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,0
لو سمحت عايز اعرف ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
هعمل ايه علشان رسوم القيد الفردي كام؟,Civil Affairs,0
ممكن حد يفهمني اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,1
عايز اعرف شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
هعمل ايه علشان اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
لو سمحت عايز اعرف اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,1
لو سمحت عايز اعرف المستندات المطلوبة للبطاقة الضريبية؟,Taxes,2
ممكن حد يفهمني تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
ممكن حد يفهمني القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,2
عايز اعرف اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
انا تايه، عايز اعرف مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
عايز اعرف اعقد عقد جواز جديد؟,Personal Status,1
لو سمحت عايز اعرف شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,0
عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
انا تايه، عايز اعرف الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
هعمل ايه علشان افرق قيدي عن قيد اهلي؟,Civil Affairs,0
ينفع اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
انا تايه، عايز اعرف اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
عايز اعرف ازاي البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
ممكن حد يفهمني اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,0
انا محتاج رسوم توثيق الطلاق كام؟,Personal Status,1
هعمل ايه علشان فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
لو سمحت عايز اعرف اسجل ضريبيا اونلاين؟,Taxes,2
عايز اعرف ازاي اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
انا محتاج المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,3
عايز اعرف ازاي غرامة تأخير تجديد الرخصة كام؟,Traffic,3
ممكن حد يفهمني اسجل نشاطي التجاري في الضرائب؟,Taxes,2
هعمل ايه علشان اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
عايز اعرف اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
انا محتاج عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
انا محتاج المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
ينفع اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
انا محتاج الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
ينفع اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
عايز اعرف ازاي رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
لو سمحت عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
فين اروح علشان غرامة تأخير الاقرار الضريبي كام؟,Taxes,2
ينفع استرد ضريبة دخل مخصومة زيادة؟,Taxes,2
عايز اعرف اسجل شركتي الجديدة ضريبيا؟,Taxes,2
ممكن تقولي ازاي اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
عايز اعرف ازاي اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
ممكن حد يفهمني الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,1
لو سمحت عايز اعرف استخرج البطاقة الضريبية؟,Taxes,2
عايز اعرف ازاي افرق قيدي عن قيد اهلي؟,Civil Affairs,0
ممكن حد يفهمني فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
ممكن تقولي ازاي اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
عايز اعرف ازاي الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
فين اروح علشان شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
فين اروح علشان مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
هعمل ايه علشان المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
ممكن حد يفهمني اقسط ضريبة الدخل المستحقة عليا؟,Taxes,2
هعمل ايه علشان رسوم تسجيل المركبة كام؟,Traffic,3
هعمل ايه علشان استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
هعمل ايه علشان اعترض على ربط ضريبة الدخل؟,Taxes,2
ممكن تقولي ازاي مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,2
لو سمحت عايز اعرف اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,1
انا تايه، عايز اعرف افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,0
ممكن حد يفهمني المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
فين اروح علشان شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,1
ممكن حد يفهمني المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
انا تايه، عايز اعرف اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
انا محتاج اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
فين اروح علشان اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,0
انا محتاج التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,2
انا محتاج اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
انا محتاج استخرج قسيمة الزواج؟,Personal Status,1
انا محتاج غرامة تأخير الاقرار الضريبي كام؟,Taxes,2
ممكن حد يفهمني اطلع ايصال دفع مخالفة مرور؟,Traffic,3
عايز اعرف استعلم عن مخالفات عربية مش عربيتي؟,Traffic,3
عايز اعرف تسجيل المركبة بياخد وقت قد ايه؟,Traffic,3
ممكن تقولي ازاي غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
ممكن حد يفهمني اطلع افادة طلاق رسمية؟,Personal Status,1
لو سمحت عايز اعرف قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
انا محتاج رسوم قسيمة الزواج كام؟,Personal Status,1
هعمل ايه علشان اطلع ايصال دفع مخالفة مرور؟,Traffic,3
ممكن حد يفهمني اوثق اشهاد طلاق اونلاين؟,Personal Status,1
ممكن تقولي ازاي المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,3
عايز اعرف ازاي اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
عايز اعرف ازاي اعدل بيانات في رخصة المركبة؟,Traffic,3
ينفع افسخ تسجيل عربية قديمة؟,Traffic,3
عايز اعرف اعدل الحالة الاجتماعية اونلاين؟,Personal Status,1
ينفع اعقد عقد جواز جديد؟,Personal Status,1
ممكن تقولي ازاي اوثق عقد جواز اونلاين؟,Personal Status,1
انا تايه، عايز اعرف اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
فين اروح علشان اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,0
ممكن حد يفهمني اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
عايز اعرف ازاي ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
لو سمحت عايز اعرف اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
ينفع محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
ينفع البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
ممكن تقولي ازاي رسوم البطاقة الضريبية كام؟,Taxes,2
عايز اعرف اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,1
لو سمحت عايز اعرف اضيف مولود على القيد العائلي؟,Civil Affairs,0
لو سمحت عايز اعرف اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,0
ممكن حد يفهمني التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,2
فين اروح علشان اضيف مولود على القيد العائلي؟,Civil Affairs,0
ينفع استخرج قيد عائلي جديد؟,Civil Affairs,0
ممكن حد يفهمني استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,0
انا تايه، عايز اعرف رسوم تسجيل المركبة كام؟,Traffic,3
انا محتاج اجدد رخصة القيادة بعد ما خلصت؟,Traffic,3
ينفع المستندات المطلوبة لتجديد الرخصة؟,Traffic,3
ينفع اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
ممكن حد يفهمني رسوم شهادة الوفاة كام؟,Civil Affairs,0
ممكن حد يفهمني قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
ينفع اقدم على رخصة القيادة اونلاين؟,Traffic,3
هعمل ايه علشان انقل ملكية موتوسيكل ازاي؟,Traffic,3
عايز اعرف افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
هعمل ايه علشان تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
عايز اعرف استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
انا تايه، عايز اعرف استرد ضريبة القيمة المضافة؟,Taxes,2
عايز اعرف ازاي احسب ضريبة الدخل على مرتبي؟,Taxes,2
هعمل ايه علشان اعدل بيانات في رخصة المركبة؟,Traffic,3
عايز اعرف ازاي رسوم قسيمة الطلاق كام؟,Personal Status,1
انا تايه، عايز اعرف المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
ممكن حد يفهمني اعدل بيانات التسجيل الضريبي؟,Taxes,2
انا تايه، عايز اعرف اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
ممكن تقولي ازاي اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
ينفع المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
عايز اعرف تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
عايز اعرف المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
لو سمحت عايز اعرف رسوم توثيق عقد الجواز كام؟,Personal Status,1
لو سمحت عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,1
لو سمحت عايز اعرف شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
فين اروح علشان اطلق مراتي رسمي ازاي؟,Personal Status,1
فين اروح علشان اعدل بيانات في شهادة الميلاد؟,Civil Affairs,0
ينفع ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,2
ينفع اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
فين اروح علشان تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,1
هعمل ايه علشان المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
ممكن حد يفهمني غرامة تأخير الاقرار الضريبي كام؟,Taxes,2
فين اروح علشان المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,1
فين اروح علشان التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,2
فين اروح علشان اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,1
انا تايه، عايز اعرف استخرج شهادة ميلاد لابني؟,Civil Affairs,0
فين اروح علشان افرق قيدي عن قيد اهلي؟,Civil Affairs,0
انا محتاج استخرج شهادة ميلاد اونلاين؟,Civil Affairs,0
ممكن حد يفهمني المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
عايز اعرف اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
هعمل ايه علشان المستندات المطلوبة لشهادة الميلاد؟,Civil Affairs,0
انا تايه، عايز اعرف اقدم اقرار القيمة المضافة الشهري؟,Taxes,2
ممكن تقولي ازاي الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
ممكن حد يفهمني اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
انا محتاج التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,2
عايز اعرف المستندات المطلوبة لتجديد الرخصة؟,Traffic,3
فين اروح علشان اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
لو سمحت عايز اعرف اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
عايز اعرف افرق قيدي عن قيد اهلي؟,Civil Affairs,0
فين اروح علشان اقدم اقرار ضريبي صفري؟,Taxes,2
ممكن حد يفهمني اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,0
فين اروح علشان اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,0
انا تايه، عايز اعرف اعدل بيانات في رخصة المركبة؟,Traffic,3
فين اروح علشان الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,1
ممكن تقولي ازاي اعقد عقد جواز جديد؟,Personal Status,1
انا تايه، عايز اعرف قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,1
هعمل ايه علشان اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
ينفع اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
انا محتاج استخرج قسيمة زواج اونلاين؟,Personal Status,1
ينفع استخرج رخصة سيارتي الجديدة؟,Traffic,3
انا تايه، عايز اعرف اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,0
هعمل ايه علشان شرايح ضريبة الدخل الحالية ايه؟,Taxes,2
انا تايه، عايز اعرف غرامة تأخير تجديد الرخصة كام؟,Traffic,3
ينفع اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,0
ينفع الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,3
فين اروح علشان اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,2
ممكن تقولي ازاي اقسط ضريبة الدخل المستحقة عليا؟,Taxes,2
ممكن حد يفهمني رسوم التسجيل الضريبي كام؟,Taxes,2
انا تايه، عايز اعرف اسجل المركبة اونلاين؟,Traffic,3
ينفع اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
ممكن تقولي ازاي استخرج قسيمة الزواج؟,Personal Status,1
هعمل ايه علشان اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,0
ينفع اقسط غرامة مخالفات المرور؟,Traffic,3
هعمل ايه علشان اطلع افادة طلاق رسمية؟,Personal Status,1
عايز اعرف ازاي اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
لو سمحت عايز اعرف احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
هعمل ايه علشان اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
فين اروح علشان الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
ممكن حد يفهمني اسجل ضريبيا اونلاين؟,Taxes,2
عايز اعرف ازاي اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
انا محتاج اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
ممكن حد يفهمني اسجل نفسي في مصلحة الضرائب؟,Taxes,2
ينفع البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,2
عايز اعرف الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,1
عايز اعرف ازاي اسجل شركتي الجديدة ضريبيا؟,Taxes,2
انا تايه، عايز اعرف اعدل الاقرار الضريبي بعد التقديم؟,Taxes,2
انا محتاج اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
انا تايه، عايز اعرف التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,2
ممكن حد يفهمني قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
ممكن تقولي ازاي استخرج القيد العائلي اونلاين؟,Civil Affairs,0
هعمل ايه علشان اقدم اقرار ضريبي صفري؟,Taxes,2
هعمل ايه علشان اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,0
ممكن حد يفهمني المستندات المطلوبة للطلاق؟,Personal Status,1
عايز اعرف شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
ممكن حد يفهمني اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
عايز اعرف ازاي المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
لو سمحت عايز اعرف اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
ممكن حد يفهمني اقدم الاقرار الضريبي السنوي؟,Taxes,2
انا تايه، عايز اعرف اسجل في ضريبة القيمة المضافة؟,Taxes,2
لو سمحت عايز اعرف اقدم على رخصة القيادة اونلاين؟,Traffic,3
عايز اعرف ازاي المستندات المطلوبة لعقد الزواج؟,Personal Status,1
فين اروح علشان المستندات المطلوبة لعقد الزواج؟,Personal Status,1
ينفع اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,1
ممكن تقولي ازاي احذف اسم من القيد العائلي؟,Civil Affairs,0
ممكن حد يفهمني اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
عايز اعرف استخرج البطاقة الضريبية؟,Taxes,2
ينفع ادفع مخالفة المرور اونلاين؟,Traffic,3
انا تايه، عايز اعرف الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
فين اروح علشان رسوم تسجيل المركبة كام؟,Traffic,3
انا محتاج المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
انا محتاج استخرج قيد فردي؟,Civil Affairs,0
عايز اعرف استرد ضريبة القيمة المضافة؟,Taxes,2
عايز اعرف ازاي القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,2
فين اروح علشان رسوم توثيق عقد الجواز كام؟,Personal Status,1
ممكن تقولي ازاي اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
ممكن تقولي ازاي استخرج قيد فردي؟,Civil Affairs,0
ممكن حد يفهمني اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,0
عايز اعرف ازاي شرايح ضريبة الدخل الحالية ايه؟,Taxes,2
هعمل ايه علشان المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
عايز اعرف ازاي رخصة السيارة بتاخد قد ايه؟,Traffic,3
انا تايه، عايز اعرف اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
انا تايه، عايز اعرف المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
هعمل ايه علشان المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
لو سمحت عايز اعرف اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
فين اروح علشان اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
ممكن حد يفهمني افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
عايز اعرف اجدد الرخصة لمركبة نقل؟,Traffic,3
ينفع افرق قيدي عن قيد اهلي؟,Civil Affairs,0
ينفع مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
ممكن تقولي ازاي اسجل نفسي في مصلحة الضرائب؟,Taxes,2
عايز اعرف رخصة السيارة بتاخد قد ايه؟,Traffic,3
هعمل ايه علشان اعترض على مخالفة مرور غلط؟,Traffic,3
ممكن تقولي ازاي اعدل بيانات في البطاقة الضريبية؟,Taxes,2
عايز اعرف المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,1
ممكن تقولي ازاي استعلم عن مخالفات عربية مش عربيتي؟,Traffic,3
انا تايه، عايز اعرف استخرج القيد العائلي اونلاين؟,Civil Affairs,0
فين اروح علشان اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
ممكن تقولي ازاي اعرف تفاصيل مخالفة برقم اللوحة؟,Traffic,3
فين اروح علشان الفرق بين الطلاق والخلع ايه؟,Personal Status,1
عايز اعرف ازاي اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
انا محتاج ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
عايز اعرف المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
انا محتاج احسب ضريبة الدخل على مرتبي؟,Taxes,2
انا تايه، عايز اعرف عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
فين اروح علشان تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
ممكن تقولي ازاي اطلع ايصال دفع مخالفة مرور؟,Traffic,3
فين اروح علشان الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,2
ممكن تقولي ازاي اطلع بدل فاقد لعقد الجواز؟,Personal Status,1
انا محتاج اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
عايز اعرف ازاي رسوم رخصة السيارة كام؟,Traffic,3
عايز اعرف ازاي افسخ تسجيل عربية قديمة؟,Traffic,3
فين اروح علشان استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
فين اروح علشان اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
انا محتاج اقدم على رخصة القيادة اونلاين؟,Traffic,3
انا محتاج اسجل في ضريبة القيمة المضافة؟,Taxes,2
ممكن تقولي ازاي اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
ممكن تقولي ازاي ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
ينفع اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
انا محتاج اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
ممكن تقولي ازاي اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
لو سمحت عايز اعرف اطلع افادة بالحالة الاجتماعية؟,Personal Status,1
عايز اعرف استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
ينفع اسجل في ضريبة القيمة المضافة؟,Taxes,2
ممكن حد يفهمني اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
ممكن تقولي ازاي رسوم رخصة السيارة كام؟,Traffic,3
ممكن تقولي ازاي اسجل شركتي الجديدة ضريبيا؟,Taxes,2
عايز اعرف ازاي استخرج قسيمة الطلاق؟,Personal Status,1
ممكن تقولي ازاي استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
هعمل ايه علشان مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,2
ممكن حد يفهمني استرد ضريبة القيمة المضافة؟,Taxes,2
